国家,背号,姓名,位置,身高(cm),出生年份,俱乐部
日本,18,西山大翔,接应,193,2003,大阪布鲁顿 日本
日本,19,備一真,自由人,167,1998,海乌姆 波兰
日本,20,山本智大,自由人,171,1994,大阪布鲁顿 日本
日本,21,永露元稀,二传,192,1996,广岛雷霆 日本
日本,23,拉里·埃夫巴德-丹,副攻,195,2000,大阪布鲁顿 日本
日本,24,高桥庆帆,接应,193,2003,巴黎男排 法国
日本,25,下川谅,二传,178,2000,三得利太阳鸟 日本
日本,26,后藤陆翔,主攻,187,2001,东京大熊 日本
日本,27,武田大周,自由人,171,2001,东丽箭 静冈 日本
日本,29,三轮大将,副攻,193,1999,广岛雷霆 日本
日本,30,西川馨太郎,副攻,195,2000,大阪布鲁顿 日本
日本,34,一之濑涟,主攻,190,2008,镇西高中 日本
波兰,1,阿列克谢・纳谢维奇,接应,200,2003,格但斯克 波兰
波兰,3,雅各布・波波夫恰克,自由人,180,1996,瓦塔 波兰
波兰,4,马尔钦・科门达,二传,198,1996,卢布林 波兰
波兰,5,米科瓦伊・萨维茨基,主攻,198,1999,卢布林 波兰
波兰,7,巴尔托洛梅伊・莱曼斯基,副攻,217,1996,斯克拉 波兰
波兰,8,巴尔托什・菲亚莱克,自由人,180,2003,扎萨 波兰
波兰,9,威尔弗雷多・莱昂・贝内罗,主攻,201,1993,卢布林 波兰
波兰,11,亚历山大・斯利夫卡,主攻,196,1995,华沙项目 波兰
波兰,12,阿图尔・沙尔普克,主攻,201,1995,热舒夫 波兰
波兰,13,雅各布・丘奈蒂斯,自由人,180,1998,奥尔什丁 波兰
波兰,15,雅各布・科哈诺夫斯基,副攻,199,1997,华沙项目 波兰
波兰,16,卡米尔・谢梅纽克,主攻,195,1996,佩鲁贾 意大利
波兰,17,雅各布・马伊赫扎克,副攻,207,2004,奥尔什丁 波兰
波兰,18,马克西米利安・格拉涅奇内,自由人,179,2005,亚斯特 波兰
波兰,19,巴尔托什・菲尔什特,主攻,198,1999,华沙项目 波兰
波兰,20,马泰乌什・别涅克,副攻,210,1994,瓦塔 波兰
波兰,21,托马什・福尔纳尔,主攻,200,1997,齐拉特银行 土耳其
波兰,24,阿德里安・马尔凯维奇,副攻,213,2002,瓦塔 波兰
波兰,27,米哈乌・杰尔佐特,主攻,208,2001,亚斯特 波兰
波兰,30,巴尔托洛梅伊・博瓦茨,接应,204,1994,瓦塔 波兰
波兰,32,马塞尔・巴凯伊,二传,189,2004,谢德尔采 波兰
波兰,34,希蒙・雅库比沙克,副攻,210,1998,扎萨 波兰
波兰,35,凯文・萨萨克,接应,208,1997,卢布林 波兰
波兰,50,巴尔托什・戈穆乌卡,接应,204,2002,华沙项目 波兰
波兰,55,雅各布・基多斯,主攻,207,2006,琴斯托霍瓦理工 波兰
波兰,58,巴尔托什・齐赫,主攻,207,2006,扎萨 波兰
波兰,72,马泰乌什・波雷巴,副攻,205,1999,热舒夫 波兰
波兰,73,雅各布・诺瓦克,副攻,205,2005,琴斯托霍瓦理工 波兰
波兰,75,雅各布・普日贝乌科维奇,二传,205,2009,斯帕瓦 波兰
波兰,96,扬・菲尔莱伊,二传,188,1996,华沙项目 波兰
塞尔维亚,1,安德烈・波洛马茨,二传,199,2004,佩珀代因大学 美国
塞尔维亚,2,杜尚・尼科利奇,接应,206,2001,普瓦捷 法国
塞尔维亚,3,斯特凡・内吉奇,自由人,180,2000,诺维萨德 塞尔维亚
塞尔维亚,4,拉扎尔・马林诺维奇,主攻,197,1998,托波拉 塞尔维亚
塞尔维亚,5,达尼洛・韦塞利奇,二传,198,2006,贝尔格莱德游击队 塞尔维亚
塞尔维亚,6,武卡辛・里斯蒂奇,自由人,190,2003,贝尔格莱德红星 塞尔维亚
塞尔维亚,8,马尔科・伊沃维奇,自由人,194,1990,斯波尔托托 土耳其
塞尔维亚,9,尼古拉・约沃维奇,二传,197,1992,新古比雪夫斯克新星 俄罗斯
塞尔维亚,10,米兰・库君季奇,主攻,196,1997,亚斯特 波兰
塞尔维亚,11,阿莱克萨・巴塔克,二传,198,2000,腓特烈港 德国
塞尔维亚,12,帕夫莱・佩里奇,主攻,207,1998,新古比雪夫斯克新星 俄罗斯
塞尔维亚,13,弗拉基米尔・加约维奇,副攻,205,2000,克拉古耶瓦茨工人 塞尔维亚
塞尔维亚,14,佩塔尔・普雷莫维奇,接应,200,1994,迪纳摩 罗马尼亚
塞尔维亚,15,内马尼亚・马舒洛维奇,副攻,205,1995,米兰 意大利
塞尔维亚,16,德拉任・卢布里奇,接应,202,1993,喀山泽尼特 俄罗斯
塞尔维亚,17,拉扎尔・耶雷米奇,自由人,183,2004,贝尔格莱德游击队 塞尔维亚
塞尔维亚,18,杜尚・彼得罗维奇,副攻,200,2000,贝尔格莱德游击队 塞尔维亚
塞尔维亚,19,亚历山大・斯特凡诺维奇,副攻,200,1998,库内奥 意大利
塞尔维亚,20,尼古拉・布尔博里奇,主攻,195,2006,诺维萨德 塞尔维亚
塞尔维亚,21,武克・托多罗维奇,二传,190,1998,帕多瓦 意大利
塞尔维亚,22,韦利科・马舒洛维奇,主攻,198,2002,帕多瓦 意大利
塞尔维亚,24,武克・库尔皮纳茨,主攻,200,2007,巴黎男排 法国
塞尔维亚,25,斯特凡・科凯扎,副攻,205,2004,诺维萨德 塞尔维亚
塞尔维亚,29,亚历山大・内德尔科维奇,副攻,205,1997,维罗纳 意大利
塞尔维亚,31,亚历山大・索萨,接应,203,2003,芝加哥洛约拉大学 美国
塞尔维亚,33,达尼洛・伊利奇,主攻,197,2003,贝尔格莱德红星 塞尔维亚
塞尔维亚,34,扎尔科・乌比帕里普,主攻,195,1999,奥伦堡 俄罗斯
塞尔维亚,35,安德烈・鲁迪奇,副攻,201,1999,贝尔格莱德红星 塞尔维亚
塞尔维亚,55,杜尚・约维奇,自由人,190,1997,克拉古耶瓦茨工人 塞尔维亚
塞尔维亚,91,阿莱克萨・波洛马茨,副攻,204,1997,克拉约瓦大学 罗马尼亚
塞尔维亚,,,,,,
塞尔维亚,,,,,,
塞尔维亚,,,,,,
塞尔维亚,,,,,,
塞尔维亚,,,,,,
斯洛文尼亚,1,通切克・施特恩,接应,200,1995,卢布尔雅那 斯洛文尼亚
斯洛文尼亚,2,阿伦・帕延克,副攻,203,1986,卢布尔雅那 斯洛文尼亚
斯洛文尼亚,3,乌罗什・普拉宁希奇,二传,185,1998,维罗纳 意大利
斯洛文尼亚,4,扬・科扎梅尔尼克,副攻,204,1995,东京大熊 日本
斯洛文尼亚,5,奥日比・斯拉蒂内舍克,主攻,191,2010,富日纳尔・拉夫内 斯洛文尼亚
斯洛文尼亚,7,卢卡・马罗夫特,主攻,195,2005,卢布尔雅那 斯洛文尼亚
斯洛文尼亚,8,罗克・布拉奇科,主攻,194,2004,拉巴特 摩洛哥
斯洛文尼亚,10,沙绍・斯塔莱卡尔,副攻,214,1996,加拉茨阿卡达 罗马尼亚
斯洛文尼亚,11,瓦伦丁・普雷丹,二传,186,2009,马里博尔 斯洛文尼亚
斯洛文尼亚,12,格雷加・奥克罗格利奇,自由人,185,2004,阿尔帕采姆卡纳尔 斯洛文尼亚
斯洛文尼亚,13,亚尼・科瓦契奇,自由人,186,1992,卢布尔雅那 斯洛文尼亚
斯洛文尼亚,14,日加・施特恩,主攻,193,1994,叶尼塞・克拉斯诺亚尔斯克 俄罗斯
斯洛文尼亚,15,泰夫日・斯拉蒂内舍克,主攻,193,2008,富日纳尔・拉夫内 斯洛文尼亚
斯洛文尼亚,17,蒂内・乌尔瑙特,主攻,200,1988,卢布尔雅那 斯洛文尼亚
斯洛文尼亚,19,罗克・莫日奇,主攻,200,2002,维罗纳 意大利
斯洛文尼亚,20,尼克・穆亚诺维奇,接应,207,2004,图尔 法国
斯洛文尼亚,21,亚卡・兹马加伊,二传,186,2008,富日纳尔・拉夫内 斯洛文尼亚
斯洛文尼亚,22,扬日・亚内兹・克尔日奇,副攻,202,2003,卢布尔雅那 斯洛文尼亚
斯洛文尼亚,23,约什特・克尔日奇,副攻,200,2005,卢布尔雅那 斯洛文尼亚
斯洛文尼亚,24,内伊茨・纳伊迪奇,二传,198,2006,卢布尔雅那 斯洛文尼亚
斯洛文尼亚,25,克莱门・森,主攻,192,2002,卢布尔雅那 斯洛文尼亚
斯洛文尼亚,26,米哈・芬克,副攻,200,2003,
斯洛文尼亚,27,尼克・莱根,副攻,195,2005,
斯洛文尼亚,28,维德・兰茨,主攻,195,2004,阿尔帕采姆卡纳尔 斯洛文尼亚
斯洛文尼亚,29,茨尔托米尔・博什尼亚克,主攻,196,2000,
斯洛文尼亚,30,萨尼・阿乔维奇,接应,195,2002,潘维塔・波姆格拉德 斯洛文尼亚
斯洛文尼亚,31,亚卡・舍舍克,接应,202,2001,阿尔帕采姆卡纳尔 斯洛文尼亚
斯洛文尼亚,33,尤里・奥曼,接应,198,2005,卡姆尼克 斯洛文尼亚
斯洛文尼亚,34,加尔・梅德韦德,副攻,200,2007,克尔卡 斯洛文尼亚
斯洛文尼亚,36,格雷戈尔・佩尔努什,二传,195,1999,迪伦电力 德国
土耳其,1,卡安·居尔布兹,接应,200,2001,费内巴切 土耳其
土耳其,2,奥默詹·布拉克·卡拉汉,二传,198,2007,哈克银行 土耳其
土耳其,3,艾哈迈德·蒂默,副攻,204,2001,加拉塔沙雷 土耳其
土耳其,33,希尔米·沙欣,二传,186,2003,齐拉特银行 土耳其
土耳其,36,厄兹居尔·本泽尔,二传,197,2005,伊斯坦布尔 BB 土耳其
土耳其,4,艾哈迈德·萨梅特·巴尔塔奇,副攻,210,1999,哈克银行 土耳其
土耳其,5,梅尔特·马蒂奇,副攻,211,1995,费内巴切 土耳其
土耳其,6,格克琴·于克塞尔,主攻,204,2004,加拉塔沙雷 土耳其
土耳其,7,贝迪尔汉·比勒比尔,副攻,201,1999,齐拉特银行 土耳其
土耳其,21,尤努斯·埃姆雷·塔亚兹,副攻,201,1998,哈克银行 土耳其
土耳其,22,哈利特·库特卢斯,副攻,203,2002,费内巴切 土耳其
土耳其,38,图纳·于尊科尔,副攻,205,2004,哈克银行 土耳其
土耳其,66,埃尔图鲁尔·加齐·梅廷,副攻,204,1996,哈克银行 土耳其
土耳其,8,贾费尔·基尔基特,主攻,194,2001,阿尔泰克玛 土耳其
土耳其,10,米尔扎·拉古姆季亚,主攻,207,2001,费内巴切 土耳其
土耳其,11,贝图拉·哈蒂波卢,自由人,190,1992,斯波尔托托 土耳其
土耳其,59,詹·科奇,接应,200,2003,加拉塔沙雷 土耳其
土耳其,12,阿迪·拉古姆奇亚,接应,211,1999,费内巴切 土耳其
土耳其,16,伯克·迪尔门勒,接应,203,2004,盖布泽 土耳其
土耳其,9,拉马赞·埃菲·曼迪拉奇,主攻,206,2002,皮亚琴察 意大利
土耳其,17,穆拉特·耶尼帕扎尔,二传,194,1993,齐拉特银行 土耳其
土耳其,14,奥努尔·居纳伊迪,主攻,202,2002,加拉塔沙雷 土耳其
土耳其,19,贝卡伊·巴伊拉克塔尔,自由人,190,1998,齐拉特银行 土耳其
土耳其,34,巴图汉·阿夫奇,主攻,203,2000,阿拉尼亚市政 土耳其
土耳其,45,伊吉特·哈姆扎·阿斯兰,主攻,206,2005,哈克银行 土耳其
土耳其,95,亚辛·艾登,主攻,195,1995,盖布泽 土耳其
土耳其,20,埃菲·巴伊拉姆,主攻,194,2002,切斯特纳 意大利
土耳其,18,乌穆特·厄兹德米尔,自由人,191,1997,哈克银行 土耳其
土耳其,23,穆罕默德·卡亚,二传,201,1995,斯波尔托托 土耳其
土耳其,31,阿卜杜勒萨梅特·亚尔钦,自由人,191,2000,伊斯坦布尔GSK 土耳其
乌克兰,2,马克西姆・德罗兹德,副攻,208,1991,波多利亚中心 乌克兰
乌克兰,3,爱德华・什泰里克,主攻,200,2005,波多利亚中心二队 乌克兰
乌克兰,4,德米特罗・沙波瓦尔,接应,198,1997,加拉茨阿卡达 罗马尼亚
乌克兰,5,奥列赫・普洛特尼茨基,主攻,190,1997,佩鲁贾 意大利
乌克兰,7,尤里・西尼齐亚,二传,194,1993,河北男排
乌克兰,8,德米特罗・扬丘克,主攻,197,1999,帕纳辛奈科斯 希腊
乌克兰,10,尤里・谢梅纽克,副攻,210,1994,华沙项目 波兰
乌克兰,12,谢尔希・叶夫斯特拉托夫,二传,190,1993,布拉格雄狮 捷克
乌克兰,13,瓦西尔・图普奇伊,接应,194,1992,加拉茨阿卡达 罗马尼亚
乌克兰,14,伊拉・科瓦洛夫,主攻,190,1996,利沃夫巴尔科姆 乌克兰
乌克兰,15,维塔利・希奇科夫,二传,186,1991,波多利亚中心 乌克兰
乌克兰,16,德米特罗・多尔戈波洛夫,二传,193,1993,布尔加斯 保加利亚
乌克兰,17,亚历山大・博伊科,自由人,180,2002,波多利亚中心 乌克兰
乌克兰,18,季莫菲・波卢扬,主攻,198,1998,米隆 希腊
乌克兰,19,叶夫根尼・博伊科,主攻,185,2005,
乌克兰,20,亚历山大・纳洛日内,主攻,196,1996,波多利亚中心 乌克兰
乌克兰,21,叶夫根尼・基西柳克,主攻,197,1995,布加勒斯特快速 罗马尼亚
乌克兰,22,尼古拉・朱尔,自由人,185,2005,波多利亚中心二队 乌克兰
乌克兰,23,杰尼斯・韦莱茨基,副攻,205,2000,波多利亚中心二队 乌克兰
乌克兰,24,雅罗斯拉夫・潘普什科,自由人,180,2001,利沃夫巴尔科姆 乌克兰
乌克兰,25,尼古拉・库茨,副攻,208,2006,利沃夫巴尔科姆 乌克兰
乌克兰,26,马克西姆・通科诺赫,接应,214,2007,法诺 意大利
乌克兰,27,弗拉迪斯拉夫・舒罗夫,副攻,208,2001,利沃夫巴尔科姆 乌克兰
乌克兰,30,安德烈・切列尼亚克,副攻,200,2005,波多利亚中心二队 乌克兰
乌克兰,33,瓦列里・托杜阿,副攻,208,1992,本菲卡 葡萄牙
乌克兰,34,亚历山大・博伊科,接应,201,2005,卡利波 意大利
乌克兰,35,鲁斯兰・切尔瓦秋克,副攻,208,2005,波多利亚中心二队 乌克兰
乌克兰,42,达尼洛・乌里夫金,接应,197,2001,波多利亚中心 乌克兰
乌克兰,88,亚历山大・科瓦尔,副攻,198,1999,波多利亚中心 乌克兰
乌克兰,97,米基塔・卢班,主攻,200,1997,波多利亚中心 乌克兰
美国,1,马修・安德森,主攻,202,1987,日铁堺 开拓者 日本
美国,3,梅森・布里格斯,自由人,182,2001,尼斯男排 法国
美国,4,杰弗里・延德里克二世,副攻,208,1995,帕奥克 希腊
美国,5,凯尔・恩辛,接应,201,1997,瓦塔 波兰
美国,6,库珀・罗宾逊,主攻,202,2002,广岛雷霆 日本
美国,7,雅各布・帕斯图尔,主攻,193,2002,肖蒙 52 法国
美国,8,托里・德法尔科,主攻,198,1997,捷太格特 蜂刺 日本
美国,9,加布里埃尔・加西亚,接应,200,1999,特伦蒂诺 意大利
美国,10,凯尔・达戈斯蒂诺,自由人,175,1995,柏林 德国
美国,11,迈卡・克里斯滕森,二传,198,1993,维罗纳 意大利
美国,12,迈克尔・马什曼,副攻,201,1994,图尔 法国
美国,13,泰勒・埃弗里尔,副攻,201,1992,东丽箭 静冈 日本
美国,14,迈卡・马阿,二传,192,1997,亚马尔火炬 俄罗斯
美国,15,安德鲁・罗恩,二传,201,2003,加州大学洛杉矶分校 美国
美国,16,卡梅伦・索恩,副攻,193,2004,加州大学洛杉矶分校 美国
美国,17,杰克・黑尼斯,接应,210,1998,柏林 德国
美国,18,科尔・哈特克,接应,211,2006,佩珀代因大学 美国
美国,19,扎卡里・拉马,主攻,203,2004,加州大学洛杉矶分校 美国
美国,20,伊桑・钱普林,主攻,191,2001,吕讷堡 德国
美国,21,丹尼尔・韦特,副攻,196,1999,巴黎男排 法国
美国,22,埃里克・庄司,自由人,184,1989,热舒夫 波兰
美国,23,诺兰・弗莱克森,主攻,204,2002,柏林 德国
美国,24,梅里克・麦克亨利,副攻,200,2000,尼斯男排 法国
美国,25,特洛伊・古奇,自由人,180,2000,迪伦电力 德国
美国,26,马修・尼格,副攻,201,1996,柏林 德国
美国,27,帕克・汤姆金森,副攻,213,2006,南加州大学 美国
美国,28,特雷德・罗森塔尔,二传,208,2006,夏威夷大学 美国
美国,29,乔丹・埃沃特,主攻,195,1997,阿尔泰克玛 土耳其
美国,30,肖恩・凯利,主攻,201,2005,加州大学洛杉矶分校 美国
美国,31,马克・史密斯,副攻,211,2004,南加州大学 美国
